homework,question_number,question
1,1,Use a direct proof to show that the sum of two even integers is even.
1,2,"Show that the additive inverse, or negative, of an even number is an even number using a direct proof."
1,3,Use a direct proof to show that the product of two odd numbers is odd.
1,4,"Prove that if n is a perfect square, then n + 2 is not a perfect square."
1,5,Prove or disprove that the product of a nonzero rational number and an irrational number is irrational.
1,6,"Prove that if x is rational and x ≠ 0, then 1/x is rational."
1,7,"Prove that if m and n are integers and mn is even, then m is even or n is even."
1,8,"Prove that if n is an integer and 3n + 2 is even, then n is even using a) a proof by contraposition. b) a proof by contradiction."
1,9,"Prove the proposition P(1), where P(n) is the proposition “If n is a positive integer , then n 2 ≥ n.” What kind of proof did you use?"
1,10,"Show that if you pick three socks from a drawer containing just blue socks and black socks, you must get either a pair of blue socks or a pair of black socks."
1,11,"Prove that if n is a positive integer , then n is even if and only if 7n + 4 is even."
1,12,Prove that m 2 = n 2 if and only if m = n or m = −n.
1,13,"Show that these three statements are equivalent, where a and b are real numbers: (i) a is less than b, (ii) the average of a and b is greater than a, and (iii) the average of a and b is less than b."
1,14,"Show that these statements about the real number x are equivalent: (i) x is rational, (ii) x/2 is rational, (iii) 3x − 1 is rational."
1,15,"Show that the propositions p 1 , p 2 , p 3 , and p 4 can be shown to be equivalent by showing that p 1 ↔ p 4 , p 2 ↔ p 3 , and p 1 ↔ p 3 ."
2,1,Prove that there are no positive perfect cubes less than 1000 that are the sum of the cubes of two positive integers.
2,2,"Use a proof by cases to show that min(a, min(b, c)) = min(min(a, b), c) whenever a, b, and c are real numbers."
2,3,Prove using the notion of without loss of generality that 5x + 5y is an odd integer when x and y are integers of opposite parity .
2,4,Prove that there is a positive integer that equals the sum of the positive integers not exceeding it. Is your proof constructive or nonconstructive?
2,5,Prove that either 2 · 10 500 + 15 or 2 · 10 500 + 16 is not a perfect square. Is your proof constructive or nonconstructive?
2,6,"Show that the product of two of the numbers 65 1000 − 8 2001 + 3 177 , 79 1212 − 9 2399 + 2 2001 , and 24 4493 − 5 8192 + 7 1777 is nonnegative. Is your proof constructive or nonconstructive? [Hint: Do not try to evaluate these numbers!]"
2,7,"Prove or disprove that if a and b are rational numbers, then a b is also rational."
2,8,"Show that if a, b, and c are real numbers and a ≠ 0, then there is a unique solution of the equation ax + b = c."
2,9,"Show that if r is an irrational number , there is a unique integer n such that the distance between r and n is less than 1/2."
2,10,"Prove that given a real number x there exist unique numbers n and ε such that x = n + ε , n is an integer , and 0 ≤ ε < 1."
2,11,"Use forward reasoning to show that if x is a nonzero real number , then x 2 + 1/x 2 ≥ 2. [Hint: Start with the inequality (x − 1/x) 2 ≥ 0 which holds for all nonzero real numbers x.]"
2,12,"The harmonic mean of two real numbers x and y equals 2xy/(x + y). By computing the harmonic and geometric means of different pairs of positive real numbers, formulate a conjecture about their relative sizes and prove your conjecture."
2,13,Formulate a conjecture about the decimal digits that appear as the final decimal digit of the fourth power of an integer . Prove your conjecture using a proof by case.
2,14,Prove that there are no solutions in integers x and y to the equation 2x 2 + 5y 2 = 14.
2,15,"Prove that there are infinitely many solutions in positive integers x, y, and z to the equation x 2 + y 2 = z 2 . [Hint: Let x = m 2 − n 2 , y = 2mn, and z = m 2 + n 2 , where m and n are integers.]"
3,1,"Prove or disprove that if you have an 8-gallon jug of water and two empty jugs with capacities of 5 gallons and 3 gallons, respectively , then you can measure 4 gallons by successively pouring some of or all of the water in a jug into another jug."
3,2,Verify the 3x + 1 conjecture for these integers. a) 6 b) 7 c) 17 d) 21
3,3,Prove that you can use dominoes to tile a rectangular checkerboard with an even number of squares.
3,4,Show that by removing two white squares and two black squares from an 8 × 8 checkerboard (assume only black and white colors are used) you can make it impossible to tile the remaining squares using dominoes.
